,First Name,Last Name,Bib,Gender Pos,Split Name,Time of Day,Distance,Hours,Minutes,Seconds,Milliseconds
142,Darren,Thomas,996,M14,Gloriana Mine,Sat 8:34:09 AM,23.8 mi,2,34,09,668
143,Darren,Thomas,996,M14,Deep Canyon Ranch,Sat 9:37:34 AM,32.2 mi,3,37,34,239
144,Darren,Thomas,996,M14,Black Canyon City,Sat 10:25:49 AM,37.7 mi,4,25,49,200
145,Darren,Thomas,996,M14,Cottonwood Gulch,Sat 11:49:50 AM,45.3 mi,5,49,50,389
146,Darren,Thomas,996,M14,Table Mesa,Sat 12:31:16 PM,49.4 mi,6,31,16,989
147,Darren,Thomas,996,M14,Finish,Sat 2:11:04 PM,62.2 mi,8,11,04,388
148,Riley,Brady,10,F1,Start,Sat 5:58:02 AM,0.0 mi,00,00,00,000
149,Riley,Brady,10,F1,Antelope Mesa,Sat 6:51:21 AM,7.6 mi,00,51,21,210
150,Riley,Brady,10,F1,Hidden Treasure,Sat 7:27:14 AM,12.8 mi,1,27,14,729
151,Riley,Brady,10,F1,Bumble Bee,Sat 8:14:39 AM,19.2 mi,2,14,39,179
152,Riley,Brady,10,F1,Gloriana Mine,Sat 8:51:06 AM,23.8 mi,2,51,06,909
153,Riley,Brady,10,F1,Deep Canyon Ranch,Sat 10:00:18 AM,32.2 mi,4,00,18,409
154,Riley,Brady,10,F1,Black Canyon City,Sat 10:46:37 AM,37.7 mi,4,46,37,508
155,Riley,Brady,10,F1,Cottonwood Gulch,Sat 12:02:02 PM,45.3 mi,6,02,02,568
156,Riley,Brady,10,F1,Table Mesa,Sat 12:41:08 PM,49.4 mi,6,41,08,500
157,Riley,Brady,10,F1,Doe Spring,Sat 1:50:00 PM,57.5 mi,7,50,00,000
158,Riley,Brady,10,F1,Finish,Sat 2:16:18 PM,62.2 mi,8,16,18,299
159,Tony,Rodríguez,1129,M15,Start,Sat 6:00:01 AM,0.0 mi,00,00,01,859
160,Tony,Rodríguez,1129,M15,Antelope Mesa,Sat 6:51:46 AM,7.6 mi,00,51,46,210
161,Tony,Rodríguez,1129,M15,Hidden Treasure,Sat 7:27:31 AM,12.8 mi,1,27,31,738
162,Tony,Rodríguez,1129,M15,Bumble Bee,Sat 8:15:06 AM,19.2 mi,2,15,06,369
163,Tony,Rodríguez,1129,M15,Gloriana Mine,Sat 8:51:29 AM,23.8 mi,2,51,29,920
164,Tony,Rodríguez,1129,M15,Deep Canyon Ranch,Sat 10:00:52 AM,32.2 mi,4,00,52,340
165,Tony,Rodríguez,1129,M15,Black Canyon City,Sat 10:46:38 AM,37.7 mi,4,46,38,508
166,Tony,Rodríguez,1129,M15,Cottonwood Gulch,Sat 12:03:58 PM,45.3 mi,6,03,58,590
167,Tony,Rodríguez,1129,M15,Table Mesa,Sat 12:42:53 PM,49.4 mi,6,42,53,908
168,Tony,Rodríguez,1129,M15,Doe Spring,Sat 1:50:00 PM,57.5 mi,7,50,00,000
169,Tony,Rodríguez,1129,M15,Finish,Sat 2:16:34 PM,62.2 mi,8,16,34,258
170,Tim,Nooney,757,M16,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,589
171,Tim,Nooney,757,M16,Antelope Mesa,Sat 6:51:23 AM,7.6 mi,00,51,23,210
172,Tim,Nooney,757,M16,Hidden Treasure,Sat 7:27:12 AM,12.8 mi,1,27,12,729
173,Tim,Nooney,757,M16,Bumble Bee,Sat 8:14:55 AM,19.2 mi,2,14,55,469
174,Tim,Nooney,757,M16,Gloriana Mine,Sat 8:51:27 AM,23.8 mi,2,51,27,920
175,Tim,Nooney,757,M16,Deep Canyon Ranch,Sat 10:02:06 AM,32.2 mi,4,02,06,649
176,Tim,Nooney,757,M16,Black Canyon City,Sat 10:48:55 AM,37.7 mi,4,48,55,539
177,Tim,Nooney,757,M16,Cottonwood Gulch,Sat 12:05:07 PM,45.3 mi,6,05,07,610
178,Tim,Nooney,757,M16,Table Mesa,Sat 12:45:00 PM,49.4 mi,6,45,00,399
179,Tim,Nooney,757,M16,Doe Spring,Sat 1:55:00 PM,57.5 mi,7,55,00,000
180,Tim,Nooney,757,M16,Finish,Sat 2:23:08 PM,62.2 mi,8,23,08,750
181,Matt,Belus,153,M17,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,719
182,Matt,Belus,153,M17,Antelope Mesa,Sat 6:49:32 AM,7.6 mi,00,49,32,179
183,Matt,Belus,153,M17,Hidden Treasure,Sat 7:23:44 AM,12.8 mi,1,23,44,679
184,Matt,Belus,153,M17,Bumble Bee,Sat 8:10:09 AM,19.2 mi,2,10,09,060
185,Matt,Belus,153,M17,Gloriana Mine,Sat 8:45:21 AM,23.8 mi,2,45,21,828
186,Matt,Belus,153,M17,Deep Canyon Ranch,Sat 9:53:42 AM,32.2 mi,3,53,42,718
187,Matt,Belus,153,M17,Black Canyon City,Sat 10:38:25 AM,37.7 mi,4,38,25,389
188,Matt,Belus,153,M17,Cottonwood Gulch,Sat 11:59:23 AM,45.3 mi,5,59,23,529
189,Matt,Belus,153,M17,Table Mesa,Sat 12:39:46 PM,49.4 mi,6,39,46,179
